,Image,Acc,F1,Jaccard,Recall,Precision,AUC ROC
0,01_test_0,0.9365997314453125,0.49510905887356466,0.32899995962695305,0.9263385244969876,0.337838398076365,0.9316472785660346
1,01_test_1,0.9356842041015625,0.4930238152513832,0.32716098651129377,0.9312734295126661,0.33525538788696685,0.933555448794645
2,01_test_2,0.9368705749511719,0.49433189721025456,0.32831398652488025,0.919518017505968,0.3380275804429586,0.928495563754622
3,01_test_3,0.9371109008789062,0.4649487212774244,0.30288807137722523,0.8581526296873128,0.3188515468506566,0.8989301744243449
4,01_test_4,0.9387245178222656,0.5121336370539105,0.3442067445088593,0.899786552828175,0.3579282530248355,0.9199772249214497
5,01_test_5,0.9194488525390625,0.45839745562737255,0.29735125781977906,0.5576983086812707,0.38911386893098193,0.750348945093964
6,02_test_0,0.9407463073730469,0.5714206881328808,0.3999922744128554,0.9397404483165441,0.4105217253409451,0.9402654456615075
7,02_test_1,0.9409332275390625,0.5718630758170657,0.40042594385285574,0.9378741157264647,0.4113365155131265,0.9394708308305226
8,02_test_2,0.9401817321777344,0.5696643705919483,0.39827321565617807,0.9419185044014884,0.408300550747443,0.9410120147691863
9,02_test_3,0.9372215270996094,0.5292216151271562,0.35982417240440345,0.8761129001704868,0.37911389811057833,0.9079494489007578
10,02_test_4,0.9399604797363281,0.5506095994061047,0.37989046924865055,0.9131546547968558,0.39413015042511446,0.9271200863069479
11,02_test_5,0.9450874328613281,0.528882343315333,0.35951056729699665,0.937028876261162,0.3684114535838045,0.9411952022487409
12,03_test_0,0.9544219970703125,0.583257760725497,0.41168939878871436,0.7744535012967766,0.46777442094662636,0.8683027886514756
13,03_test_1,0.9540252685546875,0.5805373799248225,0.4089839152608866,0.7722222222222223,0.4650903412893152,0.8670296928158663
14,03_test_2,0.9538955688476562,0.5776193471727127,0.4060933660933661,0.7654686921081882,0.4638006510270513,0.8637288238299269
15,03_test_3,0.955108642578125,0.54263505635445,0.3723398581257667,0.7139496829617509,0.43762537612838515,0.8392010526186674
16,03_test_4,0.95068359375,0.5764089121887288,0.404897808874977,0.7394082044384667,0.4722938144329897,0.8500675816476404
17,03_test_5,0.9167747497558594,0.3780254867862132,0.23306499806657996,0.33659948215464286,0.43107932379713915,0.6502545600686886
18,04_test_0,0.9495773315429688,0.578265586114479,0.4067324955116697,0.9281032363785334,0.4199647789415145,0.9392556755630681
